# High-quality Arabidopsis PPIs dataset, a total of 11858 PPIs.
Protein1	Protein2
O23342	Q38885
P92958	Q42384
P43255	Q94JU3
P45432	Q94JU3
P14712	Q9SWI1
P14713	Q9SWI1
P46014	Q9SYQ8
Q39233	Q9SEL6
Q39255	Q570C0
Q570C0	Q9FHW7
P92958	Q9SCY5
P24100	Q8LF80
O80536	P14713
O22265	P37107
P43254	Q9SPL2
O64903	P14712
O81275	P92973
O81275	Q6R0H1
O81275	Q08467
Q08467	Q6R0H1
P40228	Q08467
P13114	P41088
P13114	P51102
O48963	Q9FMF5
P93654	Q39233
O81445	Q8RWC9
O81445	Q9LYQ8
O81445	Q2V452
Q8LAS7	Q8RWC9
Q8LEM7	Q8RWC9
O81223	Q8RWC9
Q42404	Q9SEU4
Q42404	Q9SEE9
Q9SEE9	Q9SEU4
O81127	Q42404
O81126	Q42404
O81126	P51567
P51567	Q9SEU4
Q39090	Q9FHW7
P93002	Q39237
P93002	Q39163
P93002	Q39140
P93002	Q39234
P43273	P93002
Q39163	Q8L9W4
P43273	Q8L9W4
Q42510	Q8LDP4
O81223	Q9LDI3
O81223	Q9C562
O81223	P92937
O65554	O81223
Q01593	Q8RXD3
Q01593	Q9M4B5
P24100	Q67Y93
P24100	Q9SCR2
P24100	Q9LRY0
P25859	Q9LRY0
Q9FHN8	Q9LFA2
Q38937	Q9SFC6
Q38912	Q9SFC6
O49048	O65359
O49048	Q9SWH4
Q9SXL4	Q9ZNV8
P49333	Q9ZNV8
P49333	Q9SAZ5
P49333	Q9ZNV9
O22267	Q9ZNV8
O22267	Q9SAZ5
O80366	Q9SAZ5
O80366	Q9ZNV9
O82798	Q9ZNV9
O80366	Q9ZNV8
Q9SAZ5	Q9ZWS9
Q9ZNV9	Q9ZWS9
O65312	Q9LT47
O24646	P43254
O80536	P14712
O80536	Q9FE22
Q8RY59	Q96288
O49160	P43255
O49160	P45432
O49160	Q9C5Z3
O49160	Q9M4T6
Q94JU3	Q9C5Z3
Q38849	Q39128
P27900	Q9FN69
Q9FN69	Q9XGN1
P14713	Q96524
P24100	P42752
P24100	P42753
Q9FNY0	Q9FNY3
Q9FNY0	Q9FNY2
Q9FNY2	Q9FV71
Q9FNY3	Q9FV71
Q8LEM7	Q9LYQ8
Q2V452	Q8LEM7
O81445	Q9LEU7
Q8LEM7	Q9LEU7
O81223	Q9LEU7
O65554	Q8LEM7
O65554	O81445
O81223	Q9LYQ8
O04663	P38418
P49177	Q9FDX9
Q42374	Q9C5X3
Q39218	Q43725
P49598	Q38898
P43254	Q9SID1
Q7FZF1	Q8RWC9
O81445	Q9XIW0
O81445	Q9MAM1
O22932	O81445
Q8LAS7	Q9LYQ8
Q8LAS7	Q9SUL7
Q8LAS7	Q9XIW0
Q8LAS7	Q9MAM1
O22932	Q8LAS7
Q8LAS7	Q9SN43
O22971	Q8LAS7
Q8LAS7	Q9LZW4
O65554	Q8LAS7
Q8LEM7	Q9SUL7
Q8LEM7	Q9XIW0
Q8LEM7	Q9MAM1
O22932	Q8LEM7
Q8LEM7	Q9SN43
O22971	Q8LEM7
Q8LEM7	Q9LZW4
O81223	Q9XIW0
O81223	Q9MAM1
Q7FZF1	Q9LYQ8
Q7FZF1	Q9XIW0
Q9C5P6	Q9LZW4
Q43125	Q94BT6
P14713	Q94BT6
P92978	Q9LR44
Q39191	Q9SL15
Q9LMN7	Q9SL15
Q9LMN8	Q9SL15
Q9ZNV9	Q9ZWJ9
Q9ZNV8	Q9ZWJ9
Q8LAS7	Q9LDI3
Q9LDI3	Q9SUA6
O81445	Q9LDI3
Q8LEM7	Q9LDI3
O81445	P92937
O81223	Q9SN43
O81445	Q9SN43
Q9C5V6	Q9LZ03
O23249	P24100
O23249	P25859
O23249	Q2V419
O23249	Q8LF80
O64645	P35631
O82794	P35631
O64645	Q39081
P35631	Q9FVC1
Q8L9W4	Q9FNZ5
P24100	Q9FKB5
P24100	Q8GYJ3
P24100	Q94CL9
P24100	Q0WNX9
Q8GYJ3	Q8LGA1
Q0WNX9	Q8LGA1
Q8LGA1	Q94CL9
Q8LGA1	Q9LRY0
P43254	Q9SYX2
Q01593	Q9SJN0
P43254	Q96524
P43254	Q43125
P49177	Q93V47
Q38997	Q9SCY5
Q9S745	Q9SU72
Q9C5X3	Q9S7P9
O82798	P14713
P43255	P45432
P43255	Q8LAZ7
Q8LAZ7	Q8W206
Q8W206	Q94JU3
Q8L5U0	Q8W206
Q8W206	Q8W575
P46639	Q38897
P48002	Q38897
Q38874	Q38897
P46640	Q38897
Q38825	Q570C0
Q38825	Q94AH6
P93830	Q570C0
Q8L5U0	Q8W575
Q8W575	Q9FVU9
Q8LAZ7	Q8W575
P43255	Q8W575
Q8L5U0	Q9FVU9
Q8W206	Q9FVU9
Q8W1P0	Q9FVU9
Q8LAZ7	Q8W1P0
P43255	Q9FVU9
P14713	P43254
Q8L5W8	Q9LKL2
O80536	Q9LKL2
Q9SE33	Q9SUT5
