Protein1	Protein2
P17070	P35686
Q69KL9	Q6YW54
P0C443	Q0DJ33
Q0DJ33	Q6Z9A3
Q69JN7	Q8W0F9
Q2RBG8	Q852Q1
Q84T78	Q851S2
Q75KU4	Q75L42
Q0JDK9	Q84PB8
Q10CN6	Q75G93
A3AD08	Q5VNJ0
Q10PT0	Q852Q1
Q6EP66	Q6EP66
Q18PR9	Q852Q1
Q943E6	Q943Q3
Q0JKF5	Q84T78
Q84P95	Q9FXT4
Q2QY04	Q8RZZ3
Q0DEB8	Q5ZD06
O82143	Q6ETL3
Q94LR3	Q9AQW1
Q75KU4	Q9LGV5
Q0J466	Q6Q9I2
Q0JL44	Q84PC5
Q6ZKC0	Q84PB4
A3AD08	Q6Z2L1
Q10CF3	Q53RM0
Q0JCK5	Q10RP0
Q6Z345	Q84PB5
Q0DJ33	Q8S6N5
Q8LN25	Q9LIW7
Q53RM0	Q7XAL3
P12085	Q0DJ33
Q0DJ33	Q0J8A4
Q84PA3	Q84PD3
Q0DJV6	Q6Z437
Q0DJ33	Q2QTC2
Q6YW54	Q84T78
Q2QNJ8	Q5Z8Y9
Q10D98	Q6YZ49
Q0J8A4	Q6K5G8
Q06967	Q06967
Q0DJ33	Q67WR2
Q0DJ33	Q53RM0
Q2R4A0	Q2R5L7
A6N077	Q10EF8
B8AN76	Q5NBQ0
Q10J20	Q8W0E4
Q6K3E0	Q9LI00
Q0E476	Q8S1G9
Q10D98	Q852Q1
B7E321	Q2R2W2
Q652G7	Q9ZQW8
Q10CF3	Q10D98
Q0JM17	Q10N90
Q6ZKC0	Q93WI9
Q84PC4	Q8LN25
Q7XI96	Q84J55
Q2RBG8	Q2RBG8
Q0DJ33	Q6AV34
Q84PC5	Q84PD9
Q0DIT6	Q6YW54
Q10CF3	Q9LI00
Q6L545	Q7G7J6
Q6ZFU6	Q6ZFU6
Q60F23	Q9SXG8
P93431	Q6ZKC0
A3AD08	B9G4B3
Q6H436	Q6H436
P14614	Q84PD3
Q10J20	Q69Y99
P0C5B2	Q10CQ1
Q0DJ33	Q0JJS8
Q10M74	Q67UK2
Q2RB31	Q7XR00
Q33BE1	Q6K9C3
Q2RB94	Q852Q1
P07728	Q84PD3
P14656	Q8S7W1
Q0JL44	Q6K439
Q10CF3	Q852Q1
Q10CQ1	Q9XJ66
Q5JK84	Q6YW54
P37832	Q0DJ33
Q2QQD9	Q7XBR2
Q6H545	Q6H545
Q40680	Q9ZRI7
Q6H852	Q9LSU3
Q06967	Q84PD5
Q6YYW3	Q6YYW3
Q0E476	Q10SR3
Q6H6T1	Q84P71
Q0D6M1	Q6Z6G6
Q0JBH9	Q942J6
Q3HRP0	Q9LGV5
Q0D8Z1	Q10E61
A3AD08	Q5VPH3
Q6H6T1	Q9AUW2
Q5VRY1	Q6Z6L5
Q0DWG8	Q2QQD9
O82143	Q7XW88
Q0DJ33	Q6F2U9
Q5J4W4	Q7XXS4
Q10CF3	Q8W0E4
Q6K9C3	Q6YW54
Q851Y9	Q8LMR3
C7IZ16	Q5U9F2
Q84PA9	Q8LN25
P0C355	Q0DJ33
B9FSH5	Q0DJ33
Q6K8Z1	Q84J55
Q0IQF7	Q6ER85
Q6Z345	Q84PB6
Q0E476	Q7X9A8
Q0D541	Q6Z437
Q10D98	Q2QWJ9
Q7XQY5	Q8S0Q9
Q2QQD9	Q33BE1
Q6H4V8	Q9ZQW8
Q0J466	Q40704
Q0DJ33	Q7XUW5
Q2QX01	Q943E6
Q7F7I7	Q7X8P2
P25776	Q6Z437
Q6YWQ2	Q84T78
Q10N20	Q69Y99
Q84PB1	Q9FXT4
Q6Z437	Q84P58
Q0DJ33	Q6Z4A7
Q84PA4	Q8LNI5
Q53RM0	Q7XQN4
Q2R1M8	Q652G7
Q2RB94	Q69W36
Q6ER94	Q7XKD0
Q84J55	Q84P73
Q84PD2	Q9AY63
Q75M01	Q75M01
Q84P93	Q8LNI5
Q6ZKC0	Q84PC0
O64464	Q7XXS4
Q0DEB8	Q7XTE8
Q651E8	Q7G6D7
Q6K9A2	Q9SSX0
Q0JBQ0	Q5VRV7
A3AD08	Q6Z437
Q6EUP4	Q8S7W1
Q2QZ01	Q6Z7V3
Q0DJ33	Q7XPL2
Q6H6T1	Q84P90
Q40682	Q84PD6
Q7X6B6	Q851Y7
Q6H7A7	Q7X8R5
Q5ZD06	Q6K6Z3
Q2QWJ9	Q8W0F9
Q40682	Q9ZRI7
Q6Z730	Q6Z730
Q7XPV9	Q7XPV9
Q10CF3	Q8W0F9
Q0DJ33	Q8H8T0
A3AD08	Q6ER85
P07728	Q7F2P0
Q6K8J4	Q9SXG8
Q2QWJ9	Q2QWJ9
B9G2C8	Q0DWG8
Q3HRP0	Q6H7U5
Q69Y99	Q9LGE6
Q5ZCD9	Q6YW54
Q2QYP1	Q2QYP1
A3AD08	A3AD08
Q0E476	Q2QQD9
Q688X1	Q69W36
Q67X79	Q6K4K9
O82451	Q0DJ33
Q0DJ33	Q6Z382
Q40704	Q9SAR1
P0C389	Q0DJ33
Q2QYD2	Q7XR00
Q0DJ33	Q6Z2T6
Q7XXS4	Q8H3E5
Q2R2W2	Q69IL4
Q40702	Q944S9
Q67VA4	Q6L5B1
Q0J466	Q5K4R0
Q0DJ33	Q2R1U4
Q2QQD9	Q6K7E9
Q0E476	Q67W29
Q6H7U5	Q75KU4
Q2QY04	Q9FXT4
Q0E476	Q6ETX0
Q0J2C6	Q851Z6
Q336R3	Q7XU27
Q0JLP9	Q75V57
Q0E2S4	Q10L32
Q0JBQ0	Q5VRY1
Q9LGU6	Q9LGU6
Q5QNB8	Q7XI96
Q84PD4	Q84PD8
Q0DJ33	Q5Z974
Q2R0Q1	Q8RZX9
Q65WT5	Q69UI8
A3AD08	Q851Y7
B9G9X3	Q10S67
Q0J466	Q10CQ1
Q0DEB8	Q10CQ1
A0A0P0WL76	Q7XUV4
Q3HRP2	Q9LGV5
Q0DJ33	Q0JM17
Q2QWJ9	Q7XXS4
Q6YU05	Q8LQQ2
Q2R1D5	Q7XI96
Q10CF3	Q7XXS4
Q6EU39	Q9XJ66
Q2QY33	Q6ZJR6
Q6ER94	Q70G58
Q84PB7	Q8S7W1
Q5VRZ6	Q84PD3
Q7XKR9	Q944S9
Q5Z859	Q7XPY2
Q2RBG8	Q7XDC8
Q5Z8L1	Q65XV7
Q69WI0	Q7XHZ0
P0C5B2	Q6EU39
Q7XHQ8	Q7XHQ8
Q5Z8Y9	Q5Z8Y9
A3AD08	Q5VS59
A3AD08	Q69XL1
Q84J63	Q9FXT4
Q0JM17	Q652G7
Q0JHF1	Q6AVM5
Q40677	Q6ZKC0
Q0DJ33	Q10P60
A3C4S4	Q0DJ33
Q0JCT1	Q6L4L4
P40392	Q0JL44
Q6L506	Q6ZKC0
Q10C73	Q7XXS4
A6N077	Q9ZWR4
Q10D98	Q6AV18
Q8W0F9	Q8W0F9
Q6ZIX2	Q84PC4
Q06967	Q6ZDF3
A3AD08	Q10HD0
Q40704	Q84P62
P93431	Q0DJ33
Q6Z437	Q84P96
Q0JL44	Q84PA0
Q6H6T1	Q84P66
H2KWD9	Q9ZQW8
Q6EU39	Q7XUN2
Q0E4Q5	Q10CF3
Q84PC4	Q84PD3
Q6H6T1	Q84P64
Q4W8D0	Q4W8D0
Q84PB7	Q8LN25
Q84PD3	Q8S7W1
A3CAL5	Q4W8D0
Q10BA8	Q6H6T1
Q0D8Z1	Q6Z9X3
B9GC17	Q7F0R1
Q0JBH9	Q84P79
Q6H7J5	Q6YZ49
Q6K4N0	Q6YW54
Q0DJ33	Q84Q77
Q06967	Q84P65
Q651E8	Q65WV2
Q6Z437	Q84PB0
Q84PD0	Q9FXT4
Q2RB59	Q8H2X8
P93411	Q53RM0
Q852Q1	Q8L5K0
Q33DK1	Q7XM13
Q6Z4K6	Q7XHQ8
Q5Z8L1	Q9SDK9
Q6K8R6	Q6K8R6
Q7XHZ0	Q8H7Y6
Q6H7A7	Q9LST9
Q84PD3	Q9LIX1
Q0E476	Q2QY04
Q84Q72	Q943E6
P28757	Q7XTY9
Q10D98	Q6L4F8
Q84J54	Q8LN25
Q6YW54	Q9ZQW8
Q5JK24	Q5JK24
Q10CF3	Q69IL4
Q0DKY4	Q9LGU6
P12330	Q652K1
Q0E4Q5	Q2R2L6
Q06967	Q69IL4
Q6PL11	Q7G6D7
Q6H6T1	Q9ZRI7
P20698	Q7F2P0
Q2QYF3	Q75I13
P41095	Q69UI8
P0C477	Q0DJ33
Q0JM17	Q0JM17
Q6ZKC0	Q84P83
Q84P97	Q9FXT4
Q6H7H9	Q9FXT4
Q6EU39	Q6Q9I2
Q0JL44	Q10D34
P46265	Q0DJ33
Q2R2W2	Q2R2W2
Q7XXR8	Q851Y9
Q0DJ33	Q75I93
Q8LR62	Q8LR62
Q0DJ33	Q6L506
Q6AV18	Q6YZ89
Q0DWG8	Q10D98
Q0E2S4	Q84P58
Q10CQ1	Q9SAR1
Q0JM17	Q5JK84
Q5W6S3	Q5Z8Y9
P93438	Q9LGU6
Q0DEB8	Q6EU39
Q5VRY1	Q6EUK0
Q2R2W2	Q7XI96
Q10D98	Q9LST9
Q0DJ33	Q2QX01
Q40680	Q5Z627
Q6H7J5	Q9SDK9
